Entry ID,[Entry Name],[Finalized],PC Flags,[V],[A],[F],[D],[E],[G],Sell%,Buy,Trait 1 ID,[Trait 1 Name],Trait 1 Value,Trait 2 ID,[Trait 2 Name],Trait 2 Value,Trait 3 ID,[Trait 3 Name],Trait 3 Value,Trait 4 ID,[Trait 4 Name],Trait 4 Value
160,Gemstone Ring,True,0b00111010,X,X,X,,X,,25,150,18,MagDef,21,-1,None,0,-1,None,0,-1,None,0
161,Prophet's Sand,False,0b00111010,X,X,X,,X,,50,900,18,MagDef,63,-1,None,0,-1,None,0,-1,None,0
162,Meditation Ring,True,0b00111010,X,X,X,,X,,25,100,1,Will,10,-1,None,0,-1,None,0,-1,None,0
163,Moondust Ring,False,0b00111010,X,X,X,,X,,50,1500,1,Will,48,-1,None,0,-1,None,0,-1,None,0
164,Lover's Ring,True,0b00111010,X,X,X,,X,,25,300,18,MagDef,12,1,Will,12,-1,None,0,-1,None,0
165,Jade Swirl Ring,False,0b00111010,X,X,X,,X,,50,3000,18,MagDef,45,1,Will,45,-1,None,0,-1,None,0
166,Cupil Ring,False,0b00001000,,,X,,,,50,2200,49,Unconscious,-3,37,Silver,-2,18,MagDef,45,1,Will,45
167,Warrior's Heart,False,0b00111010,X,X,X,,X,,50,10,77,Recover SP,1,4,Quick,-75,-1,None,0,-1,None,0
168,Throkryn's Scale,True,0b00110101,X,X,,X,,X,25,300,16,Attack,10,-1,None,0,-1,None,0,-1,None,0
169,Thryllak's Scale,Assigned,0b00110101,X,X,,X,,X,50,2300,16,Attack,36,-1,None,0,-1,None,0,-1,None,0
170,Marocca's Shell,True,0b00110101,X,X,,X,,X,25,100,17,Defense,6,-1,None,0,-1,None,0,-1,None,0
171,Burocca's Shell,Assigned,0b00110101,X,X,,X,,X,50,1900,17,Defense,36,-1,None,0,-1,None,0,-1,None,0
172,Crylhound's Claw,True,0b00110101,X,X,,X,,X,25,400,19,Hit%,20,16,Attack,12,-1,None,0,-1,None,0
173,Hunter's Hand,True,0b00110101,X,X,,X,,X,25,1000,19,Hit%,40,16,Attack,4,-1,None,0,-1,None,0
174,Thief's Aura,True,0b00111101,X,X,X,X,,X,25,200,20,Dodge%,10,17,Defense,5,-1,None,0,-1,None,0
175,Quetya Feather,True,0b00111101,X,X,X,X,,X,25,800,20,Dodge%,20,17,Defense,4,-1,None,0,-1,None,0
176,Vigoro's Chain,False,0b00100101,X,,,X,,X,50,2900,16,Attack,20,19,Hit%,30,-1,None,0,-1,None,0
177,Sailor's Buckler,False,0b00110111,X,X,,X,X,X,50,1900,17,Defense,20,20,Dodge%,15,-1,None,0,-1,None,0
178,Warrior's Rune,True,0b00111001,X,X,X,,,X,25,600,16,Attack,10,17,Defense,10,19,Hit%,10,20,Dodge%,5
179,Ancient Bracer,False,0b00110101,X,X,,X,,X,50,10,16,Attack,20,17,Defense,20,19,Hit%,20,20,Dodge%,10
180,Counter Bracer,True,0b00110101,X,X,,X,,X,25,1400,73,Counter%,20,16,Attack,20,19,Hit%,20,-1,None,0
181,Defensive Aura,False,0b00011000,,X,X,,,,50,10,65,Block Attack,1,77,Recover SP,-1,54,Fatigue,-10,-1,None,0
182,Ivy Band,True,0b00111111,X,X,X,X,X,X,25,500,48,Poison,-5,32,Green,-2,17,Defense,12,18,MagDef,12
183,Silvite Ring,True,0b00111111,X,X,X,X,X,X,25,800,49,Unconscious,-5,37,Silver,-2,17,Defense,14,18,MagDef,14
184,Gem of Fluidity,True,0b00111111,X,X,X,X,X,X,25,400,50,Stone,-5,17,Defense,10,18,MagDef,10,-1,None,0
185,Wind Gem Ring,True,0b00111111,X,X,X,X,X,X,25,700,51,Sleep,-5,35,Blue,-2,17,Defense,14,18,MagDef,14
186,Eye of Truth,True,0b00111111,X,X,X,X,X,X,25,700,52,Confusion,-5,34,Purple,-2,17,Defense,14,18,MagDef,14
187,Revered Voice,True,0b00111111,X,X,X,X,X,X,25,500,53,Silence,-5,34,Purple,-2,17,Defense,10,18,MagDef,10
188,Everlasting Gem,True,0b00111111,X,X,X,X,X,X,25,700,54,Fatigue,-5,17,Defense,16,18,MagDef,16,-1,None,0
