Entry ID,[Entry Name],[Finalized],PC Flags,[V],[A],[F],[D],[E],[G],Sell%,Buy,Trait 1 ID,[Trait 1 Name],Trait 1 Value,Trait 2 ID,[Trait 2 Name],Trait 2 Value,Trait 3 ID,[Trait 3 Name],Trait 3 Value,Trait 4 ID,[Trait 4 Name],Trait 4 Value
80,Vyse's Uniform,True,0b00110001,X,X,,,,X,50,60,17,Defense,20,18,MagDef,20,-1,None,0,-1,None,0
81,Aika's Shorts,True,0b00011000,,X,X,,,,50,50,17,Defense,19,18,MagDef,21,-1,None,0,-1,None,0
82,Fina's Robe,True,0b00011010,,X,X,,X,,50,510,17,Defense,55,18,MagDef,64,-1,None,0,-1,None,0
83,Drachma's Shirt,True,0b00000100,,,,X,,,50,340,17,Defense,45,18,MagDef,42,-1,None,0,-1,None,0
84,Enrique's Coat,True,0b00000010,,,,,X,,50,3390,17,Defense,119,18,MagDef,119,19,Hit%,10,20,Dodge%,5
85,Gilder's Mail,True,0b00100101,X,,,X,,X,50,2840,17,Defense,116,18,MagDef,99,-1,None,0,-1,None,0
86,Light Robe,True,0b00011010,,X,X,,X,,50,100,17,Defense,26,18,MagDef,40,-1,None,0,-1,None,0
87,Valuan Uniform,True,0b00110101,X,X,,X,,X,50,130,17,Defense,32,18,MagDef,32,-1,None,0,-1,None,0
88,Sailor Uniform,True,0b00110101,X,X,,X,,X,50,330,17,Defense,44,18,MagDef,44,-1,None,0,-1,None,0
89,Mystic Dress,True,0b00011000,,X,X,,,,75,310,17,Defense,40,18,MagDef,50,-1,None,0,-1,None,0
90,Valuan Armor,Undefined,0b00100101,X,,,X,,X,50,480,17,Defense,51,18,MagDef,44,-1,None,0,-1,None,0
91,Elastamor,Undefined,0b00111111,X,X,X,X,X,X,50,580,17,Defense,54,18,MagDef,74,36,Yellow,-2,-1,None,0
92,Raincoat,Undefined,0b00110101,X,X,,X,,X,50,560,17,Defense,56,18,MagDef,76,-1,None,0,-1,None,0
93,Nasrean Mail,Undefined,0b00111111,X,X,X,X,X,X,50,920,17,Defense,66,18,MagDef,66,33,Red,-2,-1,None,0
