Entry ID,[Entry Name],[Finalized],MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[Arm 1 Name Str],Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],[Arm 2 Name Str],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],[Arm 3 Name Str],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],[Arm 4 Name Str],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
0,Valuan Warship,False,12000,20,40,20,70,5,15,10,10,10,10,7,10,Small Cannon,0,Main Cannon,120,0,85,6,Neutral,Light Subcannon,1,Sec Cannon,95,1,80,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,400,302,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,Valuan Spellship,Undefined,10000,60,20,100,70,7,10,12,10,8,10,8,12,Small Cannon,0,Main Cannon,160,0,80,6,Neutral,Light Subcannon,1,Sec Cannon,130,1,85,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,80,297,3,20%,480,Bomb,2,10%,470,Intercom,-1,None,-1,None
2,Valuan Cruiser,True,14000,45,35,15,35,5,10,12,10,8,10,8,12,Standard Cannon,0,Main Cannon,120,0,80,6,Neutral,Subcannon,1,Sec Cannon,90,2,90,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,15,240,0,100%,401,Standard Cannon,-1,None,-1,None,-1,None,-1,None
3,Valuan Phantom,Undefined,10000,90,45,100,75,8,15,10,5,10,10,5,10,Standard Cannon,0,Main Cannon,170,0,80,6,Neutral,Subcannon,1,Sec Cannon,140,2,90,6,Neutral,-,-1,None,-1,-1,-1,-1,None,-,-1,None,-1,-1,-1,-1,None,80,406,3,20%,481,Big Bomb,2,10%,472,Floor Heater,-1,None,-1,None
4,Valuan Gunboat,Undefined,17000,100,60,80,70,14,10,12,10,8,10,8,12,Large Cannon,0,Main Cannon,170,0,70,6,Neutral,Heavy Subcannon,1,Sec Cannon,140,2,85,6,Neutral,Torpedo,2,Torpedo,200,2,40,6,Neutral,-,-1,None,-1,-1,-1,-1,None,120,605,3,20%,490,Repair Kit,2,10%,402,Heavy Cannon,-1,None,-1,None
5,Valuan Mage Ship,False,15000,150,100,250,70,14,20,10,5,5,10,3,10,Large Cannon,0,Main Cannon,140,0,70,6,Neutral,Heavy Subcannon,1,Sec Cannon,120,2,85,6,Neutral,Torpedo,2,Torpedo,160,2,40,6,Neutral,-,-1,None,-1,-1,-1,-1,None,1110,589,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,Valuan Destroyer,False,38000,120,200,250,115,30,10,8,8,8,8,4,10,Prototype Cannon,0,Main Cannon,250,0,80,6,Neutral,Great Subcannon,1,Sec Cannon,300,3,90,6,Neutral,Great Torpedo,2,Torpedo,400,3,50,6,Neutral,-,-1,None,-1,-1,-1,-1,None,2380,1013,0,100%,417,"12""Blaster",6,Kalifa,470,Intercom,7,Osman,476,Expensive Wheel
7,Valuan Spectre,False,38000,200,150,370,115,30,15,6,5,4,6,3,10,Neo Cannon,0,Main Cannon,250,0,80,6,Neutral,Neo Subcannon,1,Sec Cannon,150,3,90,6,Neutral,Greater Torpedo,2,Torpedo,350,3,50,6,Neutral,-,-1,None,-1,-1,-1,-1,None,2380,1001,6,Kalifa,472,Floor Heater,0,100%,457,Triple Turbo,-1,None,-1,None
8,Galcian's Elite,False,50000,250,200,370,220,35,10,10,5,2,5,5,10,Serpent Cannon,0,Main Cannon,330,0,80,6,Neutral,Rapid Cannon,1,Sec Cannon,250,3,95,6,Neutral,Speed Torpedo,2,Torpedo,400,3,30,6,Neutral,-,-1,None,-1,-1,-1,-1,None,5780,2357,0,100%,493,Complete Kit,6,Kalifa,438,Crystil Cannon,0,100%,459,Double Shaft
9,Gregorio Cruiser,False,25000,100,250,270,65,5,5,10,9,9,10,8,10,Main Cannon,0,Main Cannon,250,0,90,6,Neutral,Fragmentation,1,Sec Cannon,200,2,80,6,Neutral,-,2,Torpedo,250,2,60,6,Neutral,-,-1,None,-1,-1,-1,-1,None,3390,1763,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
