Entry ID,[Filter],[EC ID],[EC JP Name],[Finalized],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
100,*,0,Soldier L02,True,0,Branch,21,Rating 10%,300,Go to 300
200,*,0,Soldier L02,True,1,Action,550,Attack,2,Random PC
300,*,0,Soldier L02,True,1,Action,551,Guard,-1,None
100,*,1,Guard,True,0,Branch,42,Used Sacri Crystals ≥ 1,300,Go to 300
200,*,1,Guard,True,0,Branch,39,Any EC HP < 25%,500,Go to 500
300,*,1,Guard,True,0,Branch,29,Rating 90%,600,Go to 600
400,*,1,Guard,True,0,Branch,30,Always,800,Go to 800
500,*,1,Guard,True,0,Branch,25,Rating 50%,700,Go to 700
600,*,1,Guard,True,1,Action,550,Attack,2,Random PC
700,*,1,Guard,True,1,Action,79,Sacri Crystal,7,EC With Lowest HP
800,*,1,Guard,True,1,Action,551,Guard,-1,None
100,epevent.evp,1,Guard,True,0,Branch,42,Used Sacri Crystals ≥ 1,300,Go to 300
200,epevent.evp,1,Guard,True,0,Branch,39,Any EC HP < 25%,500,Go to 500
300,epevent.evp,1,Guard,True,0,Branch,29,Rating 90%,600,Go to 600
400,epevent.evp,1,Guard,True,0,Branch,30,Always,800,Go to 800
500,epevent.evp,1,Guard,True,0,Branch,25,Rating 50%,700,Go to 700
600,epevent.evp,1,Guard,True,1,Action,550,Attack,1,Nearest PC
700,epevent.evp,1,Guard,True,1,Action,79,Sacri Crystal,7,EC With Lowest HP
800,epevent.evp,1,Guard,True,1,Action,551,Guard,-1,None
100,*,2,Seeker,True,0,Branch,45,1st PC ΔLevel > 7,300,Go to 300
200,*,2,Seeker,True,0,Branch,30,Always,400,Go to 400
300,*,2,Seeker,True,0,Branch,28,Rating 80%,1100,Go to 1100
400,*,2,Seeker,True,0,Branch,44,1st PC ΔLevel > 3,600,Go to 600
500,*,2,Seeker,True,0,Branch,30,Always,700,Go to 700
600,*,2,Seeker,True,0,Branch,24,Rating 40%,1100,Go to 1100
700,*,2,Seeker,True,0,Branch,50,Used S-Move?,900,Go to 900
800,*,2,Seeker,True,0,Branch,24,Rating 40%,1000,Go to 1000
900,*,2,Seeker,True,1,Action,550,Attack,2,Random PC
1000,*,2,Seeker,True,1,Action,4,Laser,2,Random PC
1100,*,2,Seeker,True,1,Action,552,Run,-1,None
0,epevent.evp,2,Seeker,True,0,Branch,11,Turn 1,20,Go to 20
10,epevent.evp,2,Seeker,True,0,Branch,30,Always,30,Go to 30
20,epevent.evp,2,Seeker,True,0,Branch,24,Rating 40%,10000,Attack
30,epevent.evp,2,Seeker,True,0,Branch,14,Turn 4,1000,Go to 1000
40,epevent.evp,2,Seeker,True,0,Branch,37,Turn ≥ 5,1000,Go to 1000
50,epevent.evp,2,Seeker,True,0,Branch,50,Used S-Move?,1000,Go to 1000
60,epevent.evp,2,Seeker,True,0,Branch,28,Rating 80%,10010,Laser
1000,epevent.evp,2,Seeker,True,0,Branch,50,Used S-Move?,10000,Attack
1010,epevent.evp,2,Seeker,True,0,Branch,24,Rating 40%,10010,Laser
10000,epevent.evp,2,Seeker,True,1,Action,550,Attack,2,Random PC
10010,epevent.evp,2,Seeker,True,1,Action,4,Laser,2,Random PC
100,*,3,Marocca,True,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,3,Marocca,True,0,Branch,30,Always,400,Go to 400
300,*,3,Marocca,True,0,Branch,26,Rating 60%,800,Go to 800
400,*,3,Marocca,True,0,Branch,1,HP < 50%,700,Go to 700
500,*,3,Marocca,True,0,Branch,28,Rating 80%,700,Go to 700
600,*,3,Marocca,True,1,Action,551,Guard,-1,None
700,*,3,Marocca,True,1,Action,550,Attack,1,Nearest PC
