Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[EC1 JP Name],EC2 ID,[EC2 JP Name],EC3 ID,[EC3 JP Name],EC4 ID,[EC4 JP Name],EC5 ID,[EC5 JP Name],EC6 ID,[EC6 JP Name],EC7 ID,[EC7 JP Name],EC8 ID,[EC8 JP Name]
0,a017a_ep.enp,102,2,42,Grapor,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,a017a_ep.enp,102,2,42,Grapor,42,Grapor,255,None,255,None,255,None,255,None,255,None,255,None
2,a017a_ep.enp,102,2,42,Grapor,42,Grapor,42,Grapor,255,None,255,None,255,None,255,None,255,None
3,a017a_ep.enp,102,2,42,Grapor,42,Grapor,42,Grapor,42,Grapor,255,None,255,None,255,None,255,None
4,a017a_ep.enp,102,2,42,Grapor,42,Grapor,42,Grapor,42,Grapor,42,Grapor,255,None,255,None,255,None
5,a017a_ep.enp,102,2,42,Grapor,42,Grapor,42,Grapor,42,Grapor,42,Grapor,42,Grapor,255,None,255,None
0,a020b_ep.enp,154,3,71,Tenkou,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,a020b_ep.enp,149,3,71,Tenkou,71,Tenkou,255,None,255,None,255,None,255,None,255,None,255,None
2,a020b_ep.enp,144,3,71,Tenkou,71,Tenkou,71,Tenkou,255,None,255,None,255,None,255,None,255,None
3,a020b_ep.enp,139,3,71,Tenkou,71,Tenkou,71,Tenkou,71,Tenkou,255,None,255,None,255,None,255,None
0,a035b_ep.enp,134,3,60,Soldier,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,a035b_ep.enp,134,3,60,Soldier,60,Soldier,255,None,255,None,255,None,255,None,255,None,255,None
2,a035b_ep.enp,134,3,60,Soldier,60,Soldier,60,Soldier,255,None,255,None,255,None,255,None,255,None
3,a035b_ep.enp,134,3,60,Soldier,60,Soldier,60,Soldier,60,Soldier,255,None,255,None,255,None,255,None
