Entry ID,Entry JP Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
0,バルア駆逐艦,9012000,20,40,20,70,5,15,10,10,10,10,7,10,0,Main Cannon,120,0,85,6,Neutral,1,Sec Cannon,95,1,80,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,302,0,100%,480,爆弾,3,20%,401,汎主砲,-1,None,-1,None
1,バルアЖ駆逐艦,10000,40,20,100,70,7,10,12,10,8,10,8,12,0,Main Cannon,100,0,80,6,Neutral,1,Sec Cannon,75,1,85,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,8,297,3,20%,480,爆弾,2,10%,470,カラオケセット,-1,None,-1,None
2,バルア巡洋艦,14000,20,35,15,35,5,10,12,10,8,10,8,12,0,Main Cannon,120,0,80,6,Neutral,1,Sec Cannon,90,2,90,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,12,240,0,100%,480,爆弾,0,100%,401,汎主砲,-1,None,-1,None
3,バルアЖ巡洋艦,16000,65,55,85,75,8,15,12,10,8,10,8,12,0,Main Cannon,130,0,80,6,Neutral,1,Sec Cannon,100,2,90,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,20,406,3,20%,480,爆弾,2,10%,412,５インチ副砲,-1,None,-1,None
4,バルア戦艦,20000,20,40,60,50,14,5,12,10,8,10,8,12,0,Main Cannon,130,0,70,6,Neutral,1,Sec Cannon,100,3,85,6,Neutral,2,Torpedo,160,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,12,403,3,20%,490,修復材,2,10%,402,汎主砲改,-1,None,-1,None
5,バルアЖ戦艦,9015000,150,100,250,70,14,20,10,5,5,10,3,10,0,Main Cannon,140,0,70,6,Neutral,1,Sec Cannon,120,2,85,6,Neutral,2,Torpedo,160,2,40,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,589,0,100%,485,氷の爆弾,0,100%,487,雷の爆弾,-1,None,-1,None
6,バルア新鋭艦,9038000,120,200,250,115,30,10,8,8,8,8,4,10,0,Main Cannon,250,0,80,6,Neutral,1,Sec Cannon,300,3,90,6,Neutral,2,Torpedo,400,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1013,0,100%,417,１２インチ副砲改,6,Kalifa,470,カラオケセット,7,Osman,476,高価な蛇輪
7,バルアЖ新鋭艦,60000,300,200,100,115,30,15,12,10,8,10,8,12,0,Main Cannon,300,0,80,6,Neutral,1,Sec Cannon,250,3,90,6,Neutral,2,Torpedo,400,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,143,1001,3,20%,481,大爆弾,3,20%,494,ギアグリス,2,10%,454,エアインテーク
8,ガルシアン親衛艦,9050000,250,200,370,220,35,10,10,5,2,5,5,10,0,Main Cannon,330,0,80,6,Neutral,1,Sec Cannon,250,3,95,6,Neutral,2,Torpedo,400,3,30,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2357,0,100%,493,完全修復材,6,Kalifa,438,ロックキャノン,0,100%,459,ツインエンジン
9,グレゴリオ巡洋艦,9025000,100,250,270,65,5,5,10,9,9,10,8,10,0,Main Cannon,250,0,90,6,Neutral,1,Sec Cannon,200,2,80,6,Neutral,2,Torpedo,250,2,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1763,0,100%,499,クイッカワックス,-1,None,-1,None,-1,None,-1,None
10,グレゴリオ戦艦,9030000,120,270,300,70,5,10,10,8,8,10,7,10,0,Main Cannon,270,0,90,6,Neutral,1,Sec Cannon,220,3,85,6,Neutral,2,Torpedo,250,3,70,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1685,0,100%,483,巨大爆弾,7,Osman,508,水晶玉,-1,None,-1,None
11,リンクス,30000,90,40,70,60,30,10,8,8,12,12,10,10,0,Main Cannon,140,0,90,6,Neutral,1,Sec Cannon,110,2,88,6,Neutral,2,Torpedo,160,2,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,151,1194,0,100%,496,キャプテンマーク,0,100%,509,Ж術発射装置,0,100%,411,３インチ副砲改
12,カミュレオン,30000,100,50,100,80,20,15,10,12,10,8,8,12,0,Main Cannon,150,0,90,6,Neutral,1,Sec Cannon,120,2,80,6,Neutral,2,Torpedo,170,2,70,6,Neutral,3,Special,450,0,-1,6,Neutral,0,0,0,0,0,0,272,1546,0,100%,496,キャプテンマーク,0,100%,404,重主砲Ｂ型,-1,None,-1,None
13,カミュレオン,30000,150,100,150,80,20,15,10,12,10,8,8,12,0,Main Cannon,170,0,100,6,Neutral,1,Sec Cannon,140,2,90,6,Neutral,2,Torpedo,190,2,80,6,Neutral,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,547,1791,0,100%,496,キャプテンマーク,0,100%,423,ホーク魚雷,-1,None,-1,None
14,カミュレオン,9030000,200,150,380,120,20,30,3,3,3,3,0,3,0,Main Cannon,300,0,60,6,Neutral,1,Sec Cannon,250,2,70,6,Neutral,2,Torpedo,550,3,70,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,15950,7160,0,100%,496,キャプテンマーク,0,100%,455,ツインターボ,0,100%,506,ヘクサフォース
15,カット１５,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,アウリーガ,9050000,250,300,300,80,15,5,9,5,5,9,3,9,0,Main Cannon,300,0,87,6,Neutral,1,Sec Cannon,250,2,87,6,Neutral,2,Torpedo,300,2,80,6,Neutral,3,Special,500,0,-1,6,Neutral,0,0,0,0,0,0,10290,5041,0,100%,496,キャプテンマーク,0,100%,464,重装甲板,0,100%,414,１２インチ副砲
17,ドラコ,9045000,240,125,300,100,15,10,10,10,8,11,11,10,-1,None,-1,-1,-1,-1,None,1,Sec Cannon,300,0,80,6,Neutral,2,Torpedo,500,2,80,6,Neutral,3,Special,680,0,-1,6,Neutral,0,0,0,0,0,0,12980,5825,0,100%,496,キャプテンマーク,-1,None,-1,None,-1,None,-1,None
18,ヒュドラ,9200000,280,300,370,200,15,5,10,10,10,10,0,10,0,Main Cannon,350,0,70,6,Neutral,1,Sec Cannon,360,1,80,6,Neutral,1,Sec Cannon,370,2,80,6,Neutral,3,Special,700,0,-1,6,Neutral,0,0,0,0,0,0,27770,12187,0,100%,496,キャプテンマーク,0,100%,432,ジェドキャノン,6,Kalifa,434,ジェドトゥーピド
19,カット１９,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
20,カット２０,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
21,黒空賊船,10000,40,35,50,60,8,25,8,8,12,12,10,10,0,Main Cannon,130,0,70,6,Neutral,2,Torpedo,160,1,60,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,4,307,3,20%,480,爆弾,2,10%,440,ドクロの船首像,-1,None,-1,None
22,Ж黒空賊船,18000,100,70,220,90,8,15,8,8,12,12,10,10,0,Main Cannon,140,0,80,6,Neutral,2,Torpedo,200,1,70,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,61,482,3,20%,491,硬修復材,2,10%,442,赤き船首像,-1,None,-1,None
23,ブラックベアード,8000,115,10,10,40,10,10,8,8,12,12,10,10,0,Main Cannon,130,0,80,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,12,149,0,100%,496,キャプテンマーク,0,100%,439,ストレングガン,-1,None,-1,None
24,レドキュラム,100000,100,0,100,40,0,1,5,0,20,20,10,10,3,Special,320,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,0,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
25,グリデ・ガルデ,100000,200,100,80,75,10,1,10,12,10,8,8,12,3,Special,240,0,-1,6,Neutral,3,Special,280,0,-1,6,Neutral,3,Special,400,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,791,1993,0,100%,496,キャプテンマーク,0,100%,30,グリデガウィング,-1,None,-1,None
26,ブリュウホウ,9100000,350,200,350,130,10,70,10,15,10,0,10,10,3,Special,250,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,3,Special,450,0,-1,6,Neutral,3,Special,200,0,-1,6,Neutral,0,0,0,0,0,0,17140,8386,0,100%,496,キャプテンマーク,-1,None,-1,None,-1,None,-1,None
27,イェラーガ,9150000,400,100,330,80,5,2,10,10,10,10,0,10,3,Special,330,0,-1,6,Neutral,3,Special,300,0,-1,6,Neutral,3,Special,500,0,-1,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,19050,8479,0,100%,496,キャプテンマーク,0,100%,5,雷鳴のカトラス,-1,None,-1,None
28,ジェロス,9240000,240,300,350,250,30,20,8,8,8,8,8,0,3,Special,800,0,-1,6,Neutral,3,Special,900,0,-1,6,Neutral,3,Special,1000,0,-1,6,Neutral,3,Special,1300,1,-1,6,Neutral,0,0,0,0,0,0,33590,0,0,100%,496,キャプテンマーク,-1,None,-1,None,-1,None,-1,None
