Entry ID,[Filter],[EC ID],[EC JP Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
100,*,0,Soldier,0,Branch,21,Rating 10%,300,Go to 300
200,*,0,Soldier,1,Action,550,Attack,2,Random PC
300,*,0,Soldier,1,Action,551,Guard,-1,None
100,*,1,Guard,0,Branch,42,Used Sacri Crystals ≥ 1,300,Go to 300
200,*,1,Guard,0,Branch,39,Any EC HP < 25%,500,Go to 500
300,*,1,Guard,0,Branch,29,Rating 90%,600,Go to 600
400,*,1,Guard,0,Branch,30,Always,800,Go to 800
500,*,1,Guard,0,Branch,25,Rating 50%,700,Go to 700
600,*,1,Guard,1,Action,550,Attack,2,Random PC
700,*,1,Guard,1,Action,79,サプの葉,7,EC w/ Least HP
800,*,1,Guard,1,Action,551,Guard,-1,None
100,epevent.evp,1,Guard,0,Branch,42,Used Sacri Crystals ≥ 1,300,Go to 300
200,epevent.evp,1,Guard,0,Branch,39,Any EC HP < 25%,500,Go to 500
300,epevent.evp,1,Guard,0,Branch,29,Rating 90%,600,Go to 600
400,epevent.evp,1,Guard,0,Branch,30,Always,800,Go to 800
500,epevent.evp,1,Guard,0,Branch,25,Rating 50%,700,Go to 700
600,epevent.evp,1,Guard,1,Action,550,Attack,1,Same PC
700,epevent.evp,1,Guard,1,Action,79,サプの葉,7,EC w/ Least HP
800,epevent.evp,1,Guard,1,Action,551,Guard,-1,None
100,*,2,Seeker,0,Branch,45,1st PC ΔLevel > 7,300,Go to 300
200,*,2,Seeker,0,Branch,30,Always,400,Go to 400
300,*,2,Seeker,0,Branch,28,Rating 80%,1100,Go to 1100
400,*,2,Seeker,0,Branch,44,1st PC ΔLevel > 3,600,Go to 600
500,*,2,Seeker,0,Branch,30,Always,700,Go to 700
600,*,2,Seeker,0,Branch,24,Rating 40%,1100,Go to 1100
700,*,2,Seeker,0,Branch,50,Used S-Move?,900,Go to 900
800,*,2,Seeker,0,Branch,24,Rating 40%,1000,Go to 1000
900,*,2,Seeker,1,Action,550,Attack,2,Random PC
1000,*,2,Seeker,1,Action,4,レーザー,2,Random PC
1100,*,2,Seeker,1,Action,552,Run,-1,None
100,epevent.evp,2,Seeker,0,Branch,11,Turn 1,300,Go to 300
200,epevent.evp,2,Seeker,0,Branch,30,Always,400,Go to 400
300,epevent.evp,2,Seeker,0,Branch,24,Rating 40%,1000,Go to 1000
400,epevent.evp,2,Seeker,0,Branch,14,Turn 4,800,Go to 800
500,epevent.evp,2,Seeker,0,Branch,37,Turn ≥ 5,800,Go to 800
600,epevent.evp,2,Seeker,0,Branch,50,Used S-Move?,800,Go to 800
700,epevent.evp,2,Seeker,0,Branch,28,Rating 80%,1100,Go to 1100
800,epevent.evp,2,Seeker,0,Branch,50,Used S-Move?,1000,Go to 1000
900,epevent.evp,2,Seeker,0,Branch,24,Rating 40%,1100,Go to 1100
1000,epevent.evp,2,Seeker,1,Action,550,Attack,2,Random PC
1100,epevent.evp,2,Seeker,1,Action,4,レーザー,2,Random PC
100,*,3,Marocca,0,Branch,44,1st PC ΔLevel > 3,300,Go to 300
200,*,3,Marocca,0,Branch,30,Always,400,Go to 400
300,*,3,Marocca,0,Branch,26,Rating 60%,800,Go to 800
400,*,3,Marocca,0,Branch,1,HP < 50%,700,Go to 700
500,*,3,Marocca,0,Branch,28,Rating 80%,700,Go to 700
600,*,3,Marocca,1,Action,551,Guard,-1,None
700,*,3,Marocca,1,Action,550,Attack,1,Same PC
800,*,3,Marocca,1,Action,552,Run,-1,None
100,epevent.evp,3,Marocca,0,Branch,1,HP < 50%,400,Go to 400
200,epevent.evp,3,Marocca,0,Branch,28,Rating 80%,400,Go to 400
300,epevent.evp,3,Marocca,1,Action,551,Guard,-1,None
400,epevent.evp,3,Marocca,1,Action,550,Attack,3,PC w/ Most HP
100,*,4,Grouder,0,Branch,16,Has Silence?,600,Go to 600
200,*,4,Grouder,0,Branch,34,Used Attack Spells ≥ 2,400,Go to 400
300,*,4,Grouder,0,Branch,22,Rating 20%,1100,Go to 1100
400,*,4,Grouder,0,Branch,36,Used State Spells ≥ 2,600,Go to 600
500,*,4,Grouder,0,Branch,22,Rating 20%,1000,Go to 1000
600,*,4,Grouder,0,Branch,23,Rating 30%,1200,Go to 1200
700,*,4,Grouder,0,Branch,22,Rating 20%,900,Go to 900
800,*,4,Grouder,1,Action,550,Attack,2,Random PC
900,*,4,Grouder,1,Action,551,Guard,-1,None
1000,*,4,Grouder,1,Action,503,パニカ,14,PC w/o Confusion
1100,*,4,Grouder,1,Action,520,ウェイバ,2,Random PC
1200,*,4,Grouder,1,Action,57,あやしい音波,2,Random PC
100,*,5,Enforcer,0,Branch,17,ECs Alive = 1,3000,Go to 3000
200,*,5,Enforcer,0,Branch,66,ECs Alive = 3,400,Go to 400
300,*,5,Enforcer,0,Branch,54,ECs Alive ≤ 3,2100,Go to 2100
400,*,5,Enforcer,0,Branch,18,SP = 100%,3900,Go to 3900
500,*,5,Enforcer,0,Branch,19,SP ≤ 50%,700,Go to 700
600,*,5,Enforcer,0,Branch,27,Rating 70%,3900,Go to 3900
700,*,5,Enforcer,0,Branch,69,EC Slots < 8 and Danger ≤ 3000,1200,Go to 1200
800,*,5,Enforcer,0,Branch,39,Any EC HP < 25%,4100,Go to 4100
900,*,5,Enforcer,0,Branch,1,HP < 50%,4100,Go to 4100
1000,*,5,Enforcer,0,Branch,0,HP = 100%,1500,Go to 1500
1100,*,5,Enforcer,0,Branch,30,Always,1400,Go to 1400
1200,*,5,Enforcer,0,Branch,38,Any EC HP < 50%,1400,Go to 1400
1300,*,5,Enforcer,0,Branch,30,Always,1500,Go to 1500
1400,*,5,Enforcer,0,Branch,27,Rating 70%,4100,Go to 4100
1500,*,5,Enforcer,0,Branch,11,Turn 1,1800,Go to 1800
1600,*,5,Enforcer,0,Branch,12,Turn 2,1800,Go to 1800
1700,*,5,Enforcer,0,Branch,23,Rating 30%,4100,Go to 4100
1800,*,5,Enforcer,0,Branch,26,Rating 60%,4000,Go to 4000
1900,*,5,Enforcer,0,Branch,21,Rating 10%,3900,Go to 3900
2000,*,5,Enforcer,0,Branch,30,Always,3800,Go to 3800
2100,*,5,Enforcer,0,Branch,62,PCs Alive = 1,3500,Go to 3500
2200,*,5,Enforcer,0,Branch,63,PCs Alive = 2,3500,Go to 3500
2300,*,5,Enforcer,0,Branch,50,Used S-Move?,2700,Go to 2700
2400,*,5,Enforcer,0,Branch,28,Rating 80%,4000,Go to 4000
2500,*,5,Enforcer,0,Branch,21,Rating 10%,3900,Go to 3900
2600,*,5,Enforcer,0,Branch,30,Always,3800,Go to 3800
2700,*,5,Enforcer,0,Branch,25,Rating 50%,4000,Go to 4000
2800,*,5,Enforcer,0,Branch,21,Rating 10%,3900,Go to 3900
2900,*,5,Enforcer,0,Branch,30,Always,3800,Go to 3800
3000,*,5,Enforcer,0,Branch,62,PCs Alive = 1,3500,Go to 3500
3100,*,5,Enforcer,0,Branch,63,PCs Alive = 2,3500,Go to 3500
3200,*,5,Enforcer,0,Branch,28,Rating 80%,4000,Go to 4000
3300,*,5,Enforcer,0,Branch,21,Rating 10%,3900,Go to 3900
3400,*,5,Enforcer,0,Branch,30,Always,3800,Go to 3800
3500,*,5,Enforcer,0,Branch,23,Rating 30%,4000,Go to 4000
3600,*,5,Enforcer,0,Branch,21,Rating 10%,3900,Go to 3900
3700,*,5,Enforcer,0,Branch,30,Always,3800,Go to 3800
3800,*,5,Enforcer,1,Action,550,Attack,2,Random PC
3900,*,5,Enforcer,1,Action,551,Guard,-1,None
4000,*,5,Enforcer,1,Action,70,手りゅう弾,2,Random PC
4100,*,5,Enforcer,1,Action,72,サプハネの葉,-1,None
100,*,7,Spell Warden,0,Branch,69,EC Slots < 8 and Danger ≤ 3000,300,Go to 300
200,*,7,Spell Warden,0,Branch,11,Turn 1,3800,Go to 3800
300,*,7,Spell Warden,0,Branch,37,Turn ≥ 5,500,Go to 500
400,*,7,Spell Warden,0,Branch,30,Always,600,Go to 600
500,*,7,Spell Warden,0,Branch,24,Rating 40%,1100,Go to 1100
600,*,7,Spell Warden,0,Branch,31,Used Sacri Spells ≥ 1,1100,Go to 1100
700,*,7,Spell Warden,0,Branch,54,ECs Alive ≤ 3,900,Go to 900
800,*,7,Spell Warden,0,Branch,30,Always,1100,Go to 1100
900,*,7,Spell Warden,0,Branch,0,HP = 100%,1100,Go to 1100
1000,*,7,Spell Warden,0,Branch,30,Always,4200,Go to 4200
1100,*,7,Spell Warden,0,Branch,69,EC Slots < 8 and Danger ≤ 3000,1300,Go to 1300
1200,*,7,Spell Warden,0,Branch,30,Always,1400,Go to 1400
1300,*,7,Spell Warden,0,Branch,35,Used State Spells ≥ 1,1900,Go to 1900
1400,*,7,Spell Warden,0,Branch,36,Used State Spells ≥ 2,1900,Go to 1900
1500,*,7,Spell Warden,0,Branch,25,Rating 50%,3900,Go to 3900
1600,*,7,Spell Warden,0,Branch,13,Turn 3,3900,Go to 3900
1700,*,7,Spell Warden,0,Branch,14,Turn 4,3900,Go to 3900
1800,*,7,Spell Warden,0,Branch,37,Turn ≥ 5,3900,Go to 3900
1900,*,7,Spell Warden,0,Branch,25,Rating 50%,2500,Go to 2500
2000,*,7,Spell Warden,0,Branch,32,Used Sacri Spells ≥ 2,2200,Go to 2200
2100,*,7,Spell Warden,0,Branch,30,Always,2300,Go to 2300
2200,*,7,Spell Warden,0,Branch,49,Used Spell?,2500,Go to 2500
2300,*,7,Spell Warden,0,Branch,39,Any EC HP < 25%,4000,Go to 4000
2400,*,7,Spell Warden,0,Branch,1,HP < 50%,4200,Go to 4200
2500,*,7,Spell Warden,0,Branch,37,Turn ≥ 5,2900,Go to 2900
2600,*,7,Spell Warden,0,Branch,25,Rating 50%,4300,Go to 4300
2700,*,7,Spell Warden,0,Branch,26,Rating 60%,3500,Go to 3500
2800,*,7,Spell Warden,0,Branch,30,Always,3600,Go to 3600
2900,*,7,Spell Warden,0,Branch,24,Rating 40%,4300,Go to 4300
3000,*,7,Spell Warden,0,Branch,24,Rating 40%,3500,Go to 3500
3100,*,7,Spell Warden,0,Branch,51,Used Focus?,3300,Go to 3300
3200,*,7,Spell Warden,0,Branch,24,Rating 40%,3700,Go to 3700
3300,*,7,Spell Warden,0,Branch,25,Rating 50%,4100,Go to 4100
