Entry ID,Entry JP Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Buy,Sell%,JP Order 1,JP Order 2,Pad 5,[JP Descr Pos],[JP Descr Size],JP Descr Str
440,ドクロの船首像,0b00111110,X,X,X,X,X,7,Value,0,800,3,MagDef,0,11,-1,None,0,0,-1,None,0,0,800,25,0,0,0,0x2cef30,76,空賊の象徴、ドクロがデザインされた船首像。\n空賊魂が上昇し、Ж防力が上がる。
441,鳥の船首像,0b00111110,X,X,X,X,X,7,Value,0,2400,3,MagDef,0,16,-1,None,0,0,-1,None,0,0,2400,25,1,1,0,0x2cef7c,84,伝説の赤い鳥がデザインされた船首像。\n飾りつけられた赤い羽根が特徴。Ж防力が上がる。
442,赤き船首像,0b00111110,X,X,X,X,X,7,Value,0,4400,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,4400,25,2,2,0,0x2cefd0,96,ピュラミス神殿のスフィンクスがデザインされた\n船首像。その神秘的なパワーによりЖ防力が上がる。
443,クジラの船首像,0b00111110,X,X,X,X,X,7,Value,0,4600,3,MagDef,0,25,-1,None,0,0,-1,None,0,0,4600,25,3,3,0,0x2cf030,84,空の守り神ともいわれるクジラがデザインされた\n船首像。その加護によりЖ防力が上がる。
444,ケチャの船首像,0b00111110,X,X,X,X,X,7,Value,0,4900,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,4900,25,4,4,0,0x2cf084,92,モンテスマの神ケチャがデザインされた船首像。\n荘厳な雰囲気がかもし出され、Ж防力が上がる。
445,ライオンの船首像,0b00111110,X,X,X,X,X,7,Value,0,5100,3,MagDef,0,40,-1,None,0,0,-1,None,0,0,5100,25,5,5,0,0x2cf0e0,92,百獣の王ライオンがデザインされた船首像。\n厳然たるその威容が相手を圧倒し、Ж防力が上がる。
446,青き神鳥の船首像,0b00111110,X,X,X,X,X,7,Value,0,5400,3,MagDef,0,55,-1,None,0,0,-1,None,0,0,5400,25,6,6,0,0x2cf13c,92,ヤフトマーに古くから伝わる神鳥がデザインされた\n船首像。神聖なる力がみなぎりЖ防力が上がる。
447,女神の船首像,0b00111110,X,X,X,X,X,7,Value,0,6800,3,MagDef,0,70,-1,None,0,0,-1,None,0,0,6800,25,7,7,0,0x2cf198,92,愛、勇気、勝利を呼ぶ３人の女神がデザインされた\n船首像。その友愛の力によりЖ防力が上がる。
448,ヴァイスの船首像,0b00111110,X,X,X,X,X,7,Value,0,8800,3,MagDef,0,85,-1,None,0,0,-1,None,0,0,8800,25,8,8,0,0x2cf1f4,84,青の空賊ヴァイスの船首像。自らモデルになる\n図々しさで相手を圧倒、Ж防力が上がる。
449,きらめく船首像,0b00111110,X,X,X,X,X,7,Value,0,13500,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,13500,25,9,9,0,0x2cf248,84,朝日をあらわす光球がデザインされた船首像。\n未知なる力が船を守り、Ж防力が上がる。
450,エンジンカバー,0b00111110,X,X,X,X,X,7,Value,0,700,4,Quick,0,9,6,Dodge%,0,1,-1,None,0,0,700,25,10,10,0,0x2cf29c,88,デリケートなエンジンをゴミやチリから守るカバー。\n燃焼効率がアップしスピードを上げる。
451,ターボキット,0b00111110,X,X,X,X,X,7,Value,0,1500,4,Quick,0,15,6,Dodge%,0,1,-1,None,0,0,1500,25,11,11,0,0x2cf2f4,72,燃料を強制的に送り込むキット。\n爆発的な出力を確保しスピードを上げる。
