Entry ID,Entry JP Name,Rating,Regular Atk,S-Move Atk,Dodge%,Run%
0,逃走王ヴァイス,85,0,0,0,0
1,青二才のヴァイス,95,0,0,0,0
2,したっぱ空賊のヴァイス,105,0,0,0,0
3,駆けだし空賊のヴァイス,115,0,0,0,0
4,いっぱしの空賊ヴァイス,125,0,0,0,0
5,売りだし中のヴァイス,135,0,0,0,0
6,最近ウワサのヴァイス,145,0,0,0,0
7,空賊の新星ヴァイス,155,0,0,0,0
8,威風堂々のヴァイス,165,0,0,0,0
9,神出鬼没のヴァイス,175,0,0,0,0
10,漢・ヴァイス,185,0,0,0,0
11,大航海者ヴァイス,195,0,0,0,0
12,大空またぎのヴァイス,205,0,0,0,0
13,不可能破りのヴァイス,215,0,0,0,0
14,男の中の男・ヴァイス,225,0,0,0,0
15,空賊王ヴァイス,250,0,0,0,0
16,賞金王ヴァイス,250,0,0,0,0
17,発見王ヴァイス,250,0,0,0,0
18,砲撃王ヴァイス,250,0,0,0,0
19,大漁王ヴァイス,250,0,0,0,0
20,バトル王ヴァイス,250,0,0,0,0
21,ゴージャス王ヴァイス,250,0,0,0,0
22,カリスマ王ヴァイス,250,0,0,0,0
23,地に落ちた空賊ヴァイス,0,0,0,0,0
