Entry ID,Entry US Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str
36,Cutlass Fury,6,Neutral,200,0b0010,"",X,"",0,Damage,3,Single EC,0,Vyse,1,7,0,0,25,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c73e0,92,"Vyse unleashes his fury on a single enemy,\ncausing major damage.                      7 SP"
37,Rain of Swords,6,Neutral,202,0b0010,"",X,"",0,Damage,4,All ECs,0,Vyse,1,10,0,0,10,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c743c,100,Vyse summons the power of lightning to rain down\nupon all the enemies on the screen.       10 SP
38,Pirates' Wrath,6,Neutral,204,0b0010,"",X,"",0,Damage,3,Single EC,0,Vyse,1,21,0,0,75,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c74a0,96,Vyse unleashes the wrath of the Air Pirates on\na single enemy for devastating damage.    21 SP
39,Omega Psyclone,1,Red,214,0b0010,"",X,"",0,Damage,4,All ECs,1,Aika,1,12,0,0,230,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7500,92,Aika summons the powers of the Red Moon to\ndestroy all of the enemies on screen.     12 SP
40,Alpha Storm,1,Red,210,0b0010,"",X,"",0,Damage,39,EC Ray S3,1,Aika,1,4,0,0,60,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c755c,96,"Aika spins her boomerang, summoning a vortex of\nflames to strike all enemies in a line.    4 SP"
41,Lambda Burst,1,Red,212,0b0010,"",X,"",0,Damage,4,All ECs,1,Aika,1,6,0,0,90,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c75bc,92,"Aika causes the very ground around her to\nexplode, damaging all enemies on screen.   6 SP"
42,Lunar Glyph,5,Silver,221,0b0010,"",X,"",8,Stone + Damage,3,Single EC,2,Fina,1,4,0,0,110,0,Physical,2,Stone,30,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7618,100,Fina uses the power of the Silver Moon to\ndamage and possibly Stone a single enemy.  4 SP       
43,Lunar Winds,5,Silver,223,0b0010,"",X,"",17,Rem Pos States + Damage,4,All ECs,2,Fina,1,10,0,0,180,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c767c,96,Cupil summons a storm to damage and remove any\nbeneficial effects from all enemies.      10 SP
44,Tackle,6,Neutral,230,0b0010,"",X,"",0,Damage,3,Single EC,3,Drachma,1,10,0,0,30,0,Physical,-1,None,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c76dc,100,Drachma concentrates all of his energy into his\nmetal arm and charges one enemy.          10 SP 
45,Hand of Fate,6,Neutral,232,0b0010,"",X,"",68,Unconscious + Damage B,3,Single EC,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,90,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,0x2c7740,96,"Drachma crushes one enemy with his mighty arm,\ncausing instant death to most.            25 SP"
