Entry ID,Entry US Name,Pad 1,Pad 2,Pad 3,Pad 4,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 5,Pad 6
0,Increm,0,0,0,0,1,Magic,21,Incr Attack & Defense,3,Single EC,0,Power,0,1,Red,1,Magical,0,Power,0,Power,-1,None,0,0,0
1,Incremus,0,0,0,0,1,Magic,21,Incr Attack & Defense,4,All ECs,0,Power,0,1,Red,1,Magical,0,Power,0,Power,-1,None,0,0,0
2,Sylenis,0,0,0,0,1,Magic,12,Silence,1,Single PC,0,Power,0,2,Purple,1,Magical,1,Will,1,Will,5,Silence,30,0,0
3,Panika,0,0,0,0,1,Magic,11,Confusion,1,Single PC,0,Power,0,2,Purple,1,Magical,1,Will,1,Will,4,Confusion,30,0,0
4,Driln,0,0,0,0,1,Magic,26,Decr All Attr,1,Single PC,0,Power,0,4,Yellow,1,Magical,1,Will,1,Will,8,Weak,30,0,0
5,Drilnos,0,0,0,0,1,Magic,26,Decr All Attr,2,All PCs,0,Power,0,4,Yellow,1,Magical,1,Will,1,Will,8,Weak,60,0,0
6,Sacri,0,0,0,0,1,Magic,31,Recover HP,3,Single EC,500,HP,0,0,Green,1,Magical,0,Power,0,Power,-1,None,0,0,0
7,Sacres,0,0,0,0,1,Magic,31,Recover HP,3,Single EC,1000,HP,0,0,Green,1,Magical,0,Power,0,Power,-1,None,0,0,0
8,Sacrum,0,0,0,0,1,Magic,31,Recover HP,4,All ECs,500,HP,0,0,Green,1,Magical,0,Power,0,Power,-1,None,0,0,0
9,Sacrulen,0,0,0,0,1,Magic,31,Recover HP,3,Single EC,2000,HP,0,0,Green,1,Magical,0,Power,0,Power,-1,None,0,0,0
10,Noxi,0,0,0,0,1,Magic,4,Poison + Damage,1,Single PC,1,Will,60,0,Green,1,Magical,1,Will,1,Will,0,Poison,30,0,0
11,Noxus,0,0,0,0,1,Magic,4,Poison + Damage,2,All PCs,1,Will,110,0,Green,1,Magical,1,Will,1,Will,0,Poison,60,0,0
12,Slipara,0,0,0,0,1,Magic,9,Sleep,2,All PCs,0,Power,0,3,Blue,1,Magical,1,Will,1,Will,3,Sleep,60,0,0
13,Quika,0,0,0,0,1,Magic,20,Incr Quick,4,All ECs,0,Power,0,3,Blue,1,Magical,0,Power,0,Power,-1,None,0,0,0
14,Curia,0,0,0,0,1,Magic,30,Rem Neg States B,3,Single EC,0,Power,0,5,Silver,1,Magical,0,Power,0,Power,-1,None,0,0,0
15,Risan,0,0,0,0,1,Magic,27,Revive With HP of 50%,3,Single EC,0,Power,0,5,Silver,1,Magical,55,Revival,55,Revival,7,Revival,-1,0,0
16,Riselem,0,0,0,0,1,Magic,28,Revive With HP of 100%,3,Single EC,0,Power,0,5,Silver,1,Magical,0,Power,0,Power,7,Revival,0,0,0
17,Eterni,0,0,0,0,1,Magic,68,Unconscious + Damage B,1,Single PC,1,Will,60,5,Silver,1,Magical,1,Will,1,Will,1,Unconscious,90,0,0
18,Eternes,0,0,0,0,1,Magic,68,Unconscious + Damage B,2,All PCs,1,Will,180,5,Silver,1,Magical,1,Will,1,Will,1,Unconscious,90,0,0
19,Eternum,0,0,0,0,1,Magic,68,Unconscious + Damage B,1,Single PC,1,Will,210,5,Silver,1,Magical,1,Will,1,Will,1,Unconscious,90,0,0
20,Wevli,0,0,0,0,1,Magic,0,Damage,96,PC Square S3,1,Will,60,3,Blue,1,Magical,0,Power,0,Power,-1,None,0,0,0
21,Wevles,0,0,0,0,1,Magic,0,Damage,97,PC Square S5,1,Will,110,3,Blue,1,Magical,0,Power,0,Power,-1,None,0,0,0
22,Wevlen,0,0,0,0,1,Magic,0,Damage,98,PC Square S7,1,Will,210,3,Blue,1,Magical,0,Power,0,Power,-1,None,0,0,0
23,Pyri,0,0,0,0,1,Magic,0,Damage,2,All PCs,1,Will,30,1,Red,1,Magical,0,Power,0,Power,-1,None,0,0,0
24,Pyres,0,0,0,0,1,Magic,0,Damage,2,All PCs,1,Will,80,1,Red,1,Magical,0,Power,0,Power,-1,None,0,0,0
25,Pyrum,0,0,0,0,1,Magic,0,Damage,2,All PCs,1,Will,130,1,Red,1,Magical,0,Power,0,Power,-1,None,0,0,0
26,Crystali,0,0,0,0,1,Magic,0,Damage,1,Single PC,1,Will,60,2,Purple,1,Magical,0,Power,0,Power,-1,None,0,0,0
27,Crystales,0,0,0,0,1,Magic,0,Damage,1,Single PC,1,Will,110,2,Purple,1,Magical,0,Power,0,Power,-1,None,0,0,0
28,Crystalum,0,0,0,0,1,Magic,0,Damage,1,Single PC,1,Will,160,2,Purple,1,Magical,0,Power,0,Power,-1,None,0,0,0
29,Crystalen,0,0,0,0,1,Magic,0,Damage,1,Single PC,1,Will,210,2,Purple,1,Magical,0,Power,0,Power,-1,None,0,0,0
30,Pyrulen,0,0,0,0,1,Magic,0,Damage,2,All PCs,1,Will,180,1,Red,1,Magical,0,Power,0,Power,-1,None,0,0,0
31,Wevlum,0,0,0,0,1,Magic,0,Damage,97,PC Square S5,1,Will,160,3,Blue,1,Magical,0,Power,0,Power,-1,None,0,0,0
32,Electri,0,0,0,0,1,Magic,0,Damage,100,PC Ray S1,1,Will,60,4,Yellow,1,Magical,0,Power,0,Power,-1,None,0,0,0
33,Electres,0,0,0,0,1,Magic,0,Damage,101,PC Ray S3,1,Will,110,4,Yellow,1,Magical,0,Power,0,Power,-1,None,0,0,0
34,Electrum,0,0,0,0,1,Magic,0,Damage,101,PC Ray S3,1,Will,160,4,Yellow,1,Magical,0,Power,0,Power,-1,None,0,0,0
35,Electrulen,0,0,0,0,1,Magic,0,Damage,102,PC Ray S5,1,Will,210,4,Yellow,1,Magical,0,Power,0,Power,-1,None,0,0,0
