Entry ID,Entry US Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
0,Valuan Warship,9012000,20,40,20,70,5,15,10,10,10,10,7,10,0,Main Cannon,120,0,85,6,Neutral,1,Sec Cannon,95,1,80,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,302,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,Valuan Spellship,10000,40,20,100,70,7,10,12,10,8,10,8,12,0,Main Cannon,100,0,80,6,Neutral,1,Sec Cannon,75,1,85,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,8,297,3,20%,480,Bomb,2,10%,470,Intercom,-1,None,-1,None
2,Valuan Cruiser,14000,20,35,15,35,5,10,12,10,8,10,8,12,0,Main Cannon,120,0,80,6,Neutral,1,Sec Cannon,90,2,90,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,12,240,0,100%,480,Bomb,0,100%,401,Standard Cannon,-1,None,-1,None
3,Valuan Phantom,16000,65,55,85,75,8,15,12,10,8,10,8,12,0,Main Cannon,130,0,80,6,Neutral,1,Sec Cannon,100,2,90,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,20,406,3,20%,480,Bomb,2,10%,412,"5""Cannon",-1,None,-1,None
4,Valuan Gunboat,20000,20,40,60,50,14,5,12,10,8,10,8,12,0,Main Cannon,130,0,70,6,Neutral,1,Sec Cannon,100,3,85,6,Neutral,2,Torpedo,160,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,12,403,3,20%,490,Repair Kit,2,10%,402,Heavy Cannon,-1,None,-1,None
5,Valuan Mage Ship,9015000,150,100,250,70,14,20,10,5,5,10,3,10,0,Main Cannon,140,0,70,6,Neutral,1,Sec Cannon,120,2,85,6,Neutral,2,Torpedo,160,2,40,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,589,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,Valuan Destroyer,9038000,120,200,250,115,30,10,8,8,8,8,4,10,0,Main Cannon,250,0,80,6,Neutral,1,Sec Cannon,300,3,90,6,Neutral,2,Torpedo,400,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1013,0,100%,417,"12""Blaster",6,Kalifa,470,Intercom,7,Osman,476,Expensive Wheel
7,Valuan Spectre,60000,300,200,100,115,30,15,12,10,8,10,8,12,0,Main Cannon,300,0,80,6,Neutral,1,Sec Cannon,250,3,90,6,Neutral,2,Torpedo,400,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,143,1001,3,20%,481,Big Bomb,3,20%,494,Gear Grease,2,10%,454,Air Intake
8,Galcian's Elite,9050000,250,200,370,220,35,10,10,5,2,5,5,10,0,Main Cannon,330,0,80,6,Neutral,1,Sec Cannon,250,3,95,6,Neutral,2,Torpedo,400,3,30,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2357,0,100%,493,Complete Kit,6,Kalifa,438,Crystil Cannon,0,100%,459,Double Shaft
9,Gregorio Cruiser,9025000,100,250,270,65,5,5,10,9,9,10,8,10,0,Main Cannon,250,0,90,6,Neutral,1,Sec Cannon,200,2,80,6,Neutral,2,Torpedo,250,2,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1763,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
