Entry ID,Entry US Name,Rating,Regular Atk,S-Move Atk,Dodge%,Run%
0,Vyse the Ninny,85,0,0,0,0
1,Vyse the Coward,95,0,0,0,0
2,Vyse the Unimpressive,105,0,0,0,0
3,Vyse the Blue Rogue,115,0,0,0,0
4,Vyse the Competent,125,0,0,0,0
5,Vyse the Determined,135,0,0,0,0
6,Vyse the Respected,145,0,0,0,0
7,Vyse the Admirable,155,0,0,0,0
8,Vyse the Bold,165,0,0,0,0
9,Vyse the Valiant,175,0,0,0,0
10,Vyse the Daring,185,0,0,0,0
11,Vyse the Dashing,195,0,0,0,0
12,Vyse the Fearless,205,0,0,0,0
13,Vyse the Hero,215,0,0,0,0
14,"Vyse, King of Rogues",225,0,0,0,0
15,Vyse the Legend,250,0,0,0,0
16,Vyse the Bounty King,250,0,0,0,0
17,Exploration King Vyse,250,0,0,0,0
18,Sky Battle King Vyse,250,0,0,0,0
19,Vyse the Fisher King,250,0,0,0,0
20,Vyse the Battle Lord,250,0,0,0,0
21,Vyse the Extravagant,250,0,0,0,0
22,Vyse the Charismatic,250,0,0,0,0
23,Vyse the Fallen Pirate,0,0,0,0,0
