Entry ID,[Entry Name],[Finalized],PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Trait Value,Buy,Sell%
400,Main Cannon,True,0b00110000,X,X,,,,0,Main Cannon,6,Neutral,35,80,0,4,-1,None,0,500,25
401,Standard Cannon,True,0b00110000,X,X,,,,0,Main Cannon,6,Neutral,40,83,0,3,-1,None,0,700,25
402,Heavy Cannon,True,0b00110000,X,X,,,,0,Main Cannon,6,Neutral,50,85,0,3,-1,None,0,1900,25
403,G-Type Cannon,True,0b00110000,X,X,,,,0,Main Cannon,6,Neutral,60,85,0,3,-1,None,0,3000,25
404,B-Type Cannon,True,0b00110000,X,X,,,,0,Main Cannon,6,Neutral,75,90,0,3,-1,None,0,4000,25
405,Prototype Cannon,True,0b00001110,,,X,X,X,0,Main Cannon,6,Neutral,100,85,0,3,-1,None,0,5000,25
406,Advanced Cannon,True,0b00001110,,,X,X,X,0,Main Cannon,6,Neutral,150,90,0,4,-1,None,0,5500,25
407,Yamato Spirit,False,0b00001110,,,X,X,X,0,Main Cannon,6,Neutral,250,90,0,8,-1,None,0,6700,50
408,Ancient Cannon,False,0b00001110,,,X,X,X,0,Main Cannon,6,Neutral,300,95,0,9,-1,None,0,8500,25
409,X Cannon,False,0b00001110,,,X,X,X,0,Main Cannon,6,Neutral,400,97,0,10,-1,None,0,11000,25
410,"3""Cannon",True,0b00110000,X,X,,,,1,Sec Cannon,6,Neutral,70,80,1,1,-1,None,0,500,25
411,"3""Blaster",True,0b00110000,X,X,,,,1,Sec Cannon,6,Neutral,80,83,1,2,-1,None,0,1000,25
412,"5""Cannon",True,0b00110000,X,X,,,,1,Sec Cannon,6,Neutral,90,80,1,2,-1,None,0,1300,25
413,"8""Cannon",True,0b00110000,X,X,,,,1,Sec Cannon,6,Neutral,100,82,2,2,-1,None,0,2100,25
414,"12""Cannon",True,0b00001110,,,X,X,X,1,Sec Cannon,6,Neutral,220,77,2,3,-1,None,0,3500,25
415,"10""Cannon",True,0b00001110,,,X,X,X,1,Sec Cannon,6,Neutral,170,82,3,2,-1,None,0,3600,25
416,"10""Cannon Coil",True,0b00001110,,,X,X,X,1,Sec Cannon,6,Neutral,200,89,2,3,-1,None,0,3700,25
417,"12""Blaster",False,0b00001110,,,X,X,X,1,Sec Cannon,6,Neutral,250,85,2,5,-1,None,0,3900,25
418,3'Cannon,False,0b00001110,,,X,X,X,1,Sec Cannon,6,Neutral,280,87,3,6,-1,None,0,4700,25
419,5'Cannon,False,0b00001110,,,X,X,X,1,Sec Cannon,6,Neutral,330,90,2,6,-1,None,0,5100,25
420,Light Torpedo,True,0b00110000,X,X,,,,2,Torpedo,6,Neutral,120,60,2,2,-1,None,0,1500,25
421,Guided Torpedo,True,0b00110000,X,X,,,,2,Torpedo,6,Neutral,160,70,2,3,-1,None,0,1800,25
422,Shock Torpedo,True,0b00110000,X,X,,,,2,Torpedo,6,Neutral,140,55,2,2,-1,None,0,2000,25
423,Hunter Torpedo,True,0b00110000,X,X,,,,2,Torpedo,0,Green,160,60,3,2,-1,None,0,2200,25
424,Valuan Torpedo,True,0b00001110,,,X,X,X,2,Torpedo,6,Neutral,220,60,2,3,-1,None,0,2400,25
425,Heavy Torpedo,False,0b00001110,,,X,X,X,2,Torpedo,6,Neutral,250,50,3,4,-1,None,0,4400,25
426,Serpent Torpedo,False,0b00001110,,,X,X,X,2,Torpedo,6,Neutral,300,65,2,4,-1,None,0,5400,25
427,Flash Torpedo,False,0b00001110,,,X,X,X,2,Torpedo,6,Neutral,350,70,3,5,-1,None,0,6300,25
428,Arcwhale Torpedo,False,0b00001110,,,X,X,X,2,Torpedo,6,Neutral,400,70,3,6,-1,None,0,6800,25
429,Dragon Torpedo,False,0b00001110,,,X,X,X,2,Torpedo,6,Neutral,450,60,2,7,-1,None,0,8800,25
430,Harpoon Cannon,True,0b00100000,X,,,,,3,Special,6,Neutral,350,65535,0,15,-1,None,0,0,0
431,MoonStone Cannon,True,0b00001110,,,X,X,X,3,Special,6,Neutral,800,65535,0,20,-1,None,0,0,0
432,Moon Cannon,False,0b00001110,,,X,X,X,0,Main Cannon,6,Neutral,500,99,0,9,-1,None,0,1000,100
433,Moon Gun,False,0b00001110,,,X,X,X,1,Sec Cannon,6,Neutral,400,99,3,5,-1,None,0,1000,100
434,Moon Torpedo,False,0b00001110,,,X,X,X,2,Torpedo,6,Neutral,600,75,3,6,-1,None,0,1000,100
435,Pyril Cannon,False,0b00001110,,,X,X,X,0,Main Cannon,1,Red,200,120,0,6,-1,None,0,13200,25
436,Wevl Cannon,False,0b00001110,,,X,X,X,1,Sec Cannon,3,Blue,180,120,3,4,-1,None,0,10200,25
437,Electril Torpedo,False,0b00001110,,,X,X,X,2,Torpedo,4,Yellow,500,50,3,6,-1,None,0,1000,25
438,Crystil Cannon,False,0b00001110,,,X,X,X,0,Main Cannon,2,Purple,550,60,0,9,-1,None,0,1000,25
439,Kazai Gun,True,0b00110000,X,X,,,,1,Sec Cannon,3,Blue,60,81,1,1,-1,None,0,500,25
