Entry ID,[Entry Name],[Finalized],Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,[Base],[Multiplier],Buy,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%
240,Sacri Crystal,True,0b0110,X,X,,31,Recover HP,1,Single PC,100,25,200,1,200,400,0,Green,1,Magical,-1,None,0
241,Sacres Crystal,True,0b0110,X,X,,31,Recover HP,1,Single PC,100,25,200,3,600,800,0,Green,1,Magical,-1,None,0
242,Sacrum Crystal,True,0b0110,X,X,,31,Recover HP,2,All PCs,100,25,200,9,1800,400,0,Green,1,Magical,-1,None,0
243,Sacrulen Crystal,False,0b0110,X,X,,31,Recover HP,1,Single PC,100,25,200,7,1400,1600,0,Green,1,Magical,-1,None,0
244,Magic Droplet,True,0b0111,X,X,X,48,Recover MP,1,Single PC,100,25,100,1,100,3,-1,None,-1,None,-1,None,0
245,Magic Dew,False,0b0111,X,X,X,48,Recover MP,1,Single PC,100,25,100,10,1000,5,-1,None,-1,None,-1,None,0
246,Aura of Valor,Assigned,0b0011,,X,X,35,Recover SP,2,All PCs,100,100,1000,1,1000,40,-1,None,-1,None,-1,None,0
247,Soul Crystal,True,0b0000,,,,-1,None,0,None,0,100,3000,1,3000,0,-1,None,-1,None,-1,None,0
248,Unholy Dagger,True,0b0000,,,,-1,None,0,None,0,100,4000,1,4000,0,-1,None,-1,None,-1,None,0
249,Curia Crystal,True,0b0010,,X,,30,Rem Neg States B,1,Single PC,100,25,300,1,300,0,5,Silver,1,Magical,-1,None,0
250,Risan Crystal,True,0b0010,,X,,27,Revive w/ HP of 50%,1,Single PC,100,25,300,3,900,0,5,Silver,1,Magical,7,Revival,-1
251,Riselem Crystal,Assigned,0b0010,,X,,28,Revive w/ HP of 100%,1,Single PC,100,25,300,7,2100,0,5,Silver,1,Magical,7,Revival,0
252,Glyph of Might,True,0b0010,,X,,21,Incr Attack & Defense,1,Single PC,100,25,500,7,3500,0,1,Red,1,Magical,-1,None,0
253,Glyph of Speed,True,0b0010,,X,,20,Incr Quick,2,All PCs,100,25,500,3,1500,0,3,Blue,1,Magical,-1,None,0
254,Healing Salve,True,0b0010,,X,,33,Regenerate,1,Single PC,100,25,500,1,500,100,-1,None,-1,None,-1,None,0
255,Chalice of Blood,True,0b0000,,,,-1,None,0,None,0,100,5000,1,5000,0,-1,None,-1,None,-1,None,0
256,Windsong Orb,True,0b0000,,,,-1,None,0,None,0,100,6000,1,6000,0,-1,None,-1,None,-1,None,0
257,Winter Orb,True,0b0000,,,,-1,None,0,None,0,100,7000,1,7000,0,-1,None,-1,None,-1,None,0
258,Moonberry,True,0b0000,,,,52,Learn S-Move,1,Single PC,100,0,50000,1,50000,-1,-1,None,-1,None,-1,None,0
259,Cham,True,0b0100,X,,,53,Evolve Cupil,0,None,100,0,10000,1,10000,-1,-1,None,-1,None,-1,None,0
260,Paranta Seed,True,0b0100,X,,,54,Grow Power,1,Single PC,100,100,1000,1,1000,3,-1,None,-1,None,-1,None,0
261,Icyl Seed,True,0b0100,X,,,55,Grow Will,1,Single PC,100,100,1000,1,1000,3,-1,None,-1,None,-1,None,0
262,Zaal Seed,True,0b0100,X,,,56,Grow Vigor,1,Single PC,100,100,1000,1,1000,3,-1,None,-1,None,-1,None,0
263,Dexus Seed,True,0b0100,X,,,57,Grow Agile,1,Single PC,100,100,1000,1,1000,1,-1,None,-1,None,-1,None,0
264,Sylph Seed,True,0b0100,X,,,58,Grow Quick,1,Single PC,100,100,1000,1,1000,3,-1,None,-1,None,-1,None,0
265,Vidal Seed,True,0b0100,X,,,59,Grow MAXHP,1,Single PC,100,100,1000,1,1000,30,-1,None,-1,None,-1,None,0
266,Magus Seed,True,0b0100,X,,,60,Grow MAXMP,1,Single PC,100,100,1000,1,1000,1,-1,None,-1,None,-1,None,0
267,Pyri Box,True,0b0010,,X,,0,Damage,4,All ECs,16,25,700,1,700,80,1,Red,1,Magical,-1,None,0
268,Pyrum Box,False,0b0010,,X,,0,Damage,4,All ECs,32,25,700,10,7000,360,1,Red,1,Magical,-1,None,0
