Entry ID,[Filter],[Enemy ID],[JP enemy name],[Finalized],Instr. type ID,[Instr. type name],Instr. ID,[Instr. name],Instr. param. ID,[Instr. param. name]
1,*,0,Soldier,True,0,Strategy,21,???,3,???
2,*,0,Soldier,True,1,Action,550,Attack,2,Random character
3,*,0,Soldier,True,1,Action,551,Guard,-1,None
1,*,1,Guard,True,0,Strategy,42,???,3,???
2,*,1,Guard,True,0,Strategy,39,???,5,???
3,*,1,Guard,True,0,Strategy,29,???,6,???
4,*,1,Guard,True,0,Strategy,30,???,8,???
5,*,1,Guard,True,0,Strategy,25,???,7,???
6,*,1,Guard,True,1,Action,550,Attack,2,Random character
7,*,1,Guard,True,1,Action,79,Sacri Crystal,7,Injured enemy
8,*,1,Guard,True,1,Action,551,Guard,-1,None
1,epevent.evp,1,Guard,True,0,Strategy,42,???,3,???
2,epevent.evp,1,Guard,True,0,Strategy,39,???,5,???
3,epevent.evp,1,Guard,True,0,Strategy,29,???,6,???
4,epevent.evp,1,Guard,True,0,Strategy,30,???,8,???
5,epevent.evp,1,Guard,True,0,Strategy,25,???,7,???
6,epevent.evp,1,Guard,True,1,Action,550,Attack,1,Common character
7,epevent.evp,1,Guard,True,1,Action,79,Sacri Crystal,7,Injured enemy
8,epevent.evp,1,Guard,True,1,Action,551,Guard,-1,None
1,*,2,Seeker,True,0,Strategy,45,???,3,???
2,*,2,Seeker,True,0,Strategy,30,???,4,???
3,*,2,Seeker,True,0,Strategy,28,???,11,???
4,*,2,Seeker,True,0,Strategy,44,???,6,???
5,*,2,Seeker,True,0,Strategy,30,???,7,???
6,*,2,Seeker,True,0,Strategy,24,???,11,???
7,*,2,Seeker,True,0,Strategy,50,???,9,???
8,*,2,Seeker,True,0,Strategy,24,???,10,???
9,*,2,Seeker,True,1,Action,550,Attack,2,Random character
10,*,2,Seeker,True,1,Action,4,Laser,2,Random character
11,*,2,Seeker,True,1,Action,552,Run,-1,None
1,epevent.evp,2,Seeker,True,0,Strategy,50,???,3,???
2,epevent.evp,2,Seeker,True,0,Strategy,24,???,4,???
3,epevent.evp,2,Seeker,True,1,Action,550,Attack,2,Random character
4,epevent.evp,2,Seeker,True,1,Action,4,Laser,2,Random character
1,*,3,Marocca,True,0,Strategy,44,???,3,???
2,*,3,Marocca,True,0,Strategy,30,???,4,???
3,*,3,Marocca,True,0,Strategy,26,???,8,???
4,*,3,Marocca,True,0,Strategy,1,???,7,???
5,*,3,Marocca,True,0,Strategy,28,???,7,???
6,*,3,Marocca,True,1,Action,551,Guard,-1,None
7,*,3,Marocca,True,1,Action,550,Attack,1,Common character
