Entry ID,[Entry name],[Finalized],Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State miss%
0,Increm,True,1,Magic,21,Add Strengthen,3,One enemy,0,0,1,Red,1,Magical,0,0,-1,None,0
1,Incremus,True,1,Magic,21,Add Strengthen,4,All enemies,0,0,1,Red,1,Magical,0,0,-1,None,0
2,Sylenis,True,1,Magic,12,Add Silence,1,One character,0,0,2,Purple,1,Magical,1,1,5,Silence,30
3,Panika,True,1,Magic,11,Add Confusion,1,One character,0,0,2,Purple,1,Magical,1,1,4,Confusion,30
4,Driln,True,1,Magic,26,Add Weak,1,One character,0,0,4,Yellow,1,Magical,1,1,8,Weak,30
5,Drilnos,True,1,Magic,26,Add Weak,2,All characters,0,0,4,Yellow,1,Magical,1,1,8,Weak,60
6,Sacri,True,1,Magic,31,Recover HP,3,One enemy,500,17408,0,Green,1,Magical,0,0,-1,None,0
7,Sacres,True,1,Magic,31,Recover HP,3,One enemy,1000,17408,0,Green,1,Magical,0,0,-1,None,0
8,Sacrum,True,1,Magic,31,Recover HP,4,All enemies,1000,17408,0,Green,1,Magical,0,0,-1,None,0
9,Sacrulen,True,1,Magic,31,Recover HP,3,One enemy,2000,17408,0,Green,1,Magical,0,0,-1,None,0
10,Noxi,True,1,Magic,4,Add Poison + Damage,1,One character,1,60,0,Green,1,Magical,1,1,0,Poison,30
11,Noxus,True,1,Magic,4,Add Poison + Damage,2,All characters,1,100,0,Green,1,Magical,1,1,0,Poison,60
12,Slipara,True,1,Magic,9,Add Sleep,2,All characters,0,0,3,Blue,1,Magical,1,1,3,Sleep,60
13,Quika,True,1,Magic,20,Add Quickened,4,All enemies,0,0,3,Blue,1,Magical,0,0,-1,None,0
14,Curia,True,1,Magic,30,Remove negative states,3,One enemy,0,0,5,Silver,1,Magical,0,0,-1,None,0
15,Risan,False,1,Magic,27,Revive with 50% of HP,3,One enemy,0,0,5,Silver,1,Magical,55,55,7,Revival,-1
16,Riselem,True,1,Magic,28,Revive with 100% of HP,3,One enemy,0,0,5,Silver,1,Magical,0,0,7,Revival,0
17,Eterni,True,1,Magic,68,Add Unconscious + Damage #2,1,One character,1,90,5,Silver,1,Magical,1,1,1,Unconscious,90
18,Eternes,True,1,Magic,68,Add Unconscious + Damage #2,2,All characters,1,140,5,Silver,1,Magical,1,1,1,Unconscious,90
19,Eternum,True,1,Magic,68,Add Unconscious + Damage #2,1,One character,1,240,5,Silver,1,Magical,1,1,1,Unconscious,90
20,Wevli,True,1,Magic,0,Damage,96,Character area #0,1,60,3,Blue,1,Magical,0,0,-1,None,0
21,Wevles,True,1,Magic,0,Damage,97,Character area #1,1,105,3,Blue,1,Magical,0,0,-1,None,0
22,Wevlen,True,1,Magic,0,Damage,98,Character area #2,1,195,3,Blue,1,Magical,0,0,-1,None,0
23,Pyri,True,1,Magic,0,Damage,2,All characters,1,30,1,Red,1,Magical,0,0,-1,None,0
24,Pyres,True,1,Magic,0,Damage,2,All characters,1,65,1,Red,1,Magical,0,0,-1,None,0
25,Pyrum,True,1,Magic,0,Damage,2,All characters,1,100,1,Red,1,Magical,0,0,-1,None,0
26,Crystali,True,1,Magic,0,Damage,1,One character,1,60,2,Purple,1,Magical,0,0,-1,None,0
27,Crystales,True,1,Magic,0,Damage,1,One character,1,110,2,Purple,1,Magical,0,0,-1,None,0
28,Crystalum,True,1,Magic,0,Damage,1,One character,1,160,2,Purple,1,Magical,0,0,-1,None,0
29,Crystalen,True,1,Magic,0,Damage,1,One character,1,210,2,Purple,1,Magical,0,0,-1,None,0
30,Pyrulen,True,1,Magic,0,Damage,2,All characters,1,135,1,Red,1,Magical,0,0,-1,None,0
31,Wevlum,True,1,Magic,0,Damage,97,Character area #1,1,150,3,Blue,1,Magical,0,0,-1,None,0
32,Electri,True,1,Magic,0,Damage,100,Character line #0,1,60,4,Yellow,1,Magical,0,0,-1,None,0
33,Electres,True,1,Magic,0,Damage,101,Character line #1,1,105,4,Yellow,1,Magical,0,0,-1,None,0
34,Electrum,True,1,Magic,0,Damage,101,Character line #1,1,150,4,Yellow,1,Magical,0,0,-1,None,0
35,Electrulen,True,1,Magic,0,Damage,102,Character line #2,1,195,4,Yellow,1,Magical,0,0,-1,None,0
