Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,Chara. #0 Z,Chara. #1 ID,[Chara. #1 name],Chara. #1 X,Chara. #1 Z,Chara. #2 ID,[Chara. #2 name],Chara. #2 X,Chara. #2 Z,Chara. #3 ID,[Chara. #3 name],Chara. #3 X,Chara. #3 Z,Enemy #0 ID,[JP enemy #0 name],[EU enemy #0 name],Enemy #0 X,Enemy #0 Z,Enemy #1 ID,[JP enemy #1 name],[EU enemy #1 name],Enemy #1 X,Enemy #1 Z,Enemy #2 ID,[JP enemy #2 name],[EU enemy #2 name],Enemy #2 X,Enemy #2 Z,Enemy #3 ID,[JP enemy #3 name],[EU enemy #3 name],Enemy #3 X,Enemy #3 Z,Enemy #4 ID,[JP enemy #4 name],[EU enemy #4 name],Enemy #4 X,Enemy #4 Z,Enemy #5 ID,[JP enemy #5 name],[EU enemy #5 name],Enemy #5 X,Enemy #5 Z,Enemy #6 ID,[JP enemy #6 name],[EU enemy #6 name],Enemy #6 X,Enemy #6 Z,Party vigor,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name],BGM ID
0,1,0,Vyse,4,6,1,Aika,6,6,-1,None,-1,-1,-1,None,-1,-1,165,Spell Warden,Venificus,3,2,166,Spell Warden,Venificus,7,2,0,Soldier,Ferratus,4,3,0,Soldier,Ferratus,6,3,0,Soldier,Ferratus,5,4,255,None,None,-1,-1,255,None,None,-1,-1,14,1,May try again,1,Cannot escape,60
1,1,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,167,Royal Guard,Sceptrum Praeses,5,2,1,Guard,Praeses,3,3,1,Guard,Praeses,7,3,1,Guard,Praeses,4,4,1,Guard,Praeses,6,4,1,Guard,Praeses,5,5,255,None,None,-1,-1,14,1,May try again,1,Cannot escape,60
2,2,0,Vyse,6,6,1,Aika,4,8,-1,None,-1,-1,-1,None,-1,-1,128,Antonio,Antonio,2,2,169,Kantor,Kantor,6,0,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,18,1,May try again,1,Cannot escape,60
3,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,129,Sentinel,Sentinel,4,2,2,Seeker,Latro,2,4,2,Seeker,Latro,8,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,23,1,May try again,1,Cannot escape,60
4,2,0,Vyse,5,8,1,Aika,3,9,3,Drachma,7,9,-1,None,-1,-1,130,Bleigock,Bleigock,4,0,34,Dralnog,Dralnog,2,4,34,Dralnog,Dralnog,8,4,34,Dralnog,Dralnog,4,5,34,Dralnog,Dralnog,6,5,255,None,None,-1,-1,255,None,None,-1,-1,33,1,May try again,1,Cannot escape,60
5,3,0,Vyse,5,8,1,Aika,3,9,3,Drachma,7,9,-1,None,-1,-1,131,Executioner,Carcer,4,1,7,Spell Warden,Venificus,2,2,7,Spell Warden,Venificus,8,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,35,1,May try again,1,Cannot escape,60
6,0,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,132,Galcian,Galcian,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,37,0,Must not lose,1,Cannot escape,61
7,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,Patrol Guard,Custos,5,3,72,Patrol Guard,Custos,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,37,0,Must not lose,0,Can escape,58
8,2,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,Patrol Guard,Custos,5,3,7,Spell Warden,Venificus,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,37,0,Must not lose,0,Can escape,58
9,3,0,Vyse,4,8,1,Aika,5,9,-1,None,-1,-1,-1,None,-1,-1,133,Royal Guard,Sceptrum Praeses,5,5,133,Royal Guard,Sceptrum Praeses,4,4,7,Spell Warden,Venificus,5,4,7,Spell Warden,Venificus,4,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,39,1,May try again,1,Cannot escape,60
