Entry ID,[Filter],JP entry name,[US enemy name],[EU enemy name],Width,Depth,Element ID,[Element name],Padding #0,Padding #1,Movement flags,Counter%,EXP,Gold,Padding #2,Padding #3,MAXHP,Unknown #0,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,Unknown #1,Unknown #2,Unknown #3,Unknown #4,Unknown #5,Unknown #6,Unknown #7,Effect ID,[Effect name],State ID,[State name],State hit%,Padding #4,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Padding #5,Padding #6,Item #0 prob.,Item #0 amount,Item #0 ID,[Item #0 name],Item #1 prob.,Item #1 amount,Item #1 ID,[Item #1 name],Item #2 prob.,Item #2 amount,Item #2 ID,[Item #2 name],Item #3 prob.,Item #3 amount,Item #3 ID,[Item #3 name]
0,*,軍艦兵,Soldier,Ferratus,1,1,4,Yellow,-1,-1,4039,10,1,13,-1,-1,70,18.0,8,10,10,12,8,12,8,12,10,12,10,0,0,10,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,2,20,16,10,24,51,45,43,95,15,-1,-1,1,1,87,Valuan Uniform,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
0,epevent.evp,軍艦兵,Soldier,Ferratus,1,1,4,Yellow,-1,-1,4039,10,1,25,-1,-1,60,18.0,8,10,10,12,8,12,8,12,10,12,10,0,0,10,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,13,10,20,45,42,40,95,15,-1,-1,1,1,87,Valuan Uniform,1,1,258,Moonberry,50,1,240,Sacri Crystal,100,1,244,Magic Droplet
1,*,航行士,Guard,Praeses,1,1,4,Yellow,-1,-1,4037,15,1,9,-1,-1,35,18.0,8,10,10,12,8,12,8,12,10,12,10,0,0,10,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,2,20,15,15,25,44,40,40,105,15,-1,-1,6,1,240,Sacri Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
1,epevent.evp,航行士,Guard,Praeses,1,1,4,Yellow,-1,-1,4037,15,1,17,-1,-1,30,18.0,8,10,10,12,8,12,8,12,10,12,10,0,0,10,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,1,16,12,15,21,38,38,38,105,15,-1,-1,1,1,258,Moonberry,25,1,240,Sacri Crystal,50,1,244,Magic Droplet,-1,-1,-1,None
2,*,ミクラステル,Seeker,Latro,1,1,5,Silver,-1,-1,4047,15,14,123,-1,-1,138,18.0,10,10,10,10,12,8,0,8,10,10,10,0,0,10,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,30,25,5,30,96,91,120,90,10,-1,-1,1,1,258,Moonberry,3,1,265,Vidal Seed,-1,-1,-1,None,-1,-1,-1,None
3,*,マロッカ,Marocca,Marocca,1,1,3,Blue,-1,-1,4095,5,4,31,-1,-1,117,18.0,15,5,20,5,5,10,15,10,5,5,20,20,0,10,5,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,25,5,20,20,55,95,55,80,5,-1,-1,1,1,258,Moonberry,6,1,170,Marocca's Shell,-1,-1,-1,None,-1,-1,-1,None
3,epevent.evp,マロッカ,Marocca,Marocca,1,1,3,Blue,-1,-1,4095,5,4,31,-1,-1,117,18.0,15,5,20,5,5,10,15,10,5,5,20,20,0,10,5,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,25,5,20,20,55,95,55,80,5,-1,-1,1,1,258,Moonberry,6,1,170,Marocca's Shell,50,1,249,Curia Crystal,-1,-1,-1,None
4,*,アーアペプ,Grouder,Grouder,3,3,2,Purple,-1,-1,4047,25,9,48,-1,-1,586,18.0,12,14,6,8,10,10,12,10,14,8,6,6,0,10,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,3,33,28,10,27,86,74,68,80,5,-1,-1,1,1,258,Moonberry,4,1,21,Throwing Blade,-1,-1,-1,None,-1,-1,-1,None
4,epevent.evp,アーアペプ,Grouder,Grouder,3,3,2,Purple,-1,-1,4047,25,9,48,-1,-1,586,18.0,12,14,6,8,10,10,12,10,14,8,6,6,0,10,10,10,10,10,10,10,10,1000,-1,None,0,Poison,0,-1,3,33,28,10,27,86,74,68,80,5,-1,-1,1,1,258,Moonberry,100,1,21,Throwing Blade,-1,-1,-1,None,-1,-1,-1,None
7,*,Ж術処刑士,Spell Warden,Venificus,1,1,4,Yellow,-1,-1,4085,5,17,54,-1,-1,406,18.0,8,10,10,12,8,12,5,5,5,5,5,10,0,5,5,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,5,63,40,5,43,100,89,156,70,25,-1,-1,50,1,240,Sacri Crystal,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
8,*,レトモニケ,Flestik,Flestik,1,1,3,Blue,-1,-1,4039,15,4,18,-1,-1,70,18.0,12,8,12,10,8,10,20,12,8,0,12,0,0,10,8,10,10,10,10,10,10,500,69,Add Sleep + Damage,3,Sleep,40,-1,3,28,19,10,32,68,70,70,85,5,-1,-1,3,1,249,Curia Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
9,*,レイチア,Basallish,Basallish,1,1,1,Red,-1,-1,4039,20,5,24,-1,-1,142,18.0,8,6,14,12,10,10,8,10,10,12,12,0,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,38,28,15,32,84,151,86,100,20,-1,-1,1,1,267,Pyri Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
10,*,カイライ,Mind Stealer,Dementis,1,1,0,Green,-1,-1,4037,15,11,41,-1,-1,344,18.0,10,12,8,8,14,10,0,20,20,18,18,0,0,10,20,10,10,10,10,10,10,800,4,Add Poison + Damage,0,Poison,60,-1,4,40,27,15,23,104,116,78,75,5,-1,-1,1,1,50,Mace Hand,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
11,*,フォカラルガ,Walrenk,Walrenk,3,3,2,Purple,-1,-1,4039,15,285,193,-1,-1,417,18.0,11,14,7,9,10,10,11,10,10,9,9,10,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,122,64,15,68,221,194,194,80,5,-1,-1,2,1,279,Panika Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
12,*,ギジェリガー,Varkris,Varkris,1,1,0,Green,-1,-1,4047,10,142,62,-1,-1,231,18.0,10,11,9,9,11,10,14,15,15,14,14,15,0,10,16,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,16,80,45,5,93,146,136,136,100,25,-1,-1,3,1,173,Hunter's Hand,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
13,*,アスフール,Azbeth,Azbeth,1,1,3,Blue,-1,-1,4095,10,65,35,-1,-1,149,18.0,11,9,11,10,9,10,16,15,15,15,16,14,0,10,14,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,12,64,36,15,69,135,108,108,100,20,-1,-1,2,1,183,Silvite Ring,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
14,*,盗掘者シモン,Zivilyn Bane,Zivilyn Bane,1,1,1,Red,-1,-1,4039,20,596,1898,-1,-1,1362,18.0,9,9,11,11,10,10,4,4,4,4,4,0,0,5,4,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,14,57,51,20,71,162,144,115,115,20,-1,-1,10,1,263,Dexus Seed,33,1,260,Paranta Seed,50,1,261,Icyl Seed,100,1,262,Zaal Seed
15,*,ヌール,Ghastling,Ghastling,1,1,0,Green,-1,-1,4095,5,2,15,-1,-1,90,18.0,10,12,8,8,12,10,9,10,12,8,8,8,0,10,12,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,3,25,64,5,28,57,70,110,90,15,-1,-1,3,1,240,Sacri Crystal,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
16,*,モクズ,Florast,Florast,1,1,2,Purple,-1,-1,4095,10,301,72,-1,-1,99,18.0,11,14,7,9,10,10,11,10,10,9,5,10,0,10,10,10,10,10,10,10,10,400,70,Add Confusion + Damage,4,Confusion,70,-1,28,132,76,10,115,256,204,256,75,10,-1,-1,1,1,190,Constitution Gem,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
17,*,ツィツィ,Tsirat,Tsirat,1,1,2,Purple,-1,-1,4047,15,7,21,-1,-1,165,18.0,12,14,6,8,10,10,12,10,14,8,6,6,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,4,40,70,15,40,68,76,96,90,20,-1,-1,1,1,269,Crystales Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
17,a106a_ep.enp;a106c_ep.enp,ツィツィ,Tsirat,Tsirat,1,1,2,Purple,-1,-1,4047,15,7,21,-1,-1,206,18.0,12,14,6,8,10,10,12,10,14,8,6,6,0,10,10,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,5,50,88,15,40,85,80,101,90,20,-1,-1,1,1,269,Crystales Box,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
18,*,セベスク,Thorkyn,Thorkyn,1,1,3,Blue,-1,-1,4095,10,9,30,-1,-1,143,18.0,12,8,12,10,8,10,12,10,8,10,12,0,0,10,8,10,10,10,10,10,10,800,-1,None,0,Poison,0,-1,4,35,29,10,33,79,88,98,85,25,-1,-1,3,1,168,Throkryn's Scale,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
19,*,ユールマラー,Scorfly,Scorfly,1,1,2,Purple,-1,-1,4037,25,11,44,-1,-1,220,18.0,14,14,6,6,10,10,14,10,14,6,6,0,0,10,10,10,10,10,10,10,10,500,71,Add Silence + Damage,5,Silence,40,-1,4,36,30,25,36,77,115,69,95,15,-1,-1,5,1,187,Revered Voice,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
20,*,イルドゥス,Centralk,Centralk,1,1,3,Blue,-1,-1,4039,15,259,645,-1,-1,187,18.0,11,9,11,10,9,10,22,20,20,0,22,0,0,10,18,10,10,10,10,10,10,500,69,Add Sleep + Damage,3,Sleep,40,-1,23,86,57,10,97,206,194,151,85,160,-1,-1,5,1,8,Sword of Daccat,5,1,69,Daccat Custom,1,1,258,Moonberry,-1,-1,-1,None
21,*,ベルクロード,Feralisk,Feralisk,1,1,0,Green,-1,-1,4039,20,228,155,-1,-1,217,18.0,10,20,5,5,20,10,9,10,10,9,9,10,0,10,11,10,10,10,10,10,10,500,-1,None,0,Poison,0,-1,23,115,72,10,116,221,216,216,105,20,-1,-1,4,1,136,Light Coat,1,1,258,Moonberry,-1,-1,-1,None,-1,-1,-1,None
